// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

0,33002,5000
0,33000,7500

//kartu
7,2607,1875
7,2617,1875
7,2601,1875
7,2602,1875
7,2603,1875
7,2604,1875
7,2605,1875
7,2618,1875
7,10003,250
7,10007,250
7,10009,250
7,10010,250
7,10011,250
7,10012,250
7,10015,250
7,10017,250
7,10020,1250
7,4002,1250
7,4003,3750
7,4004,1250
7,4006,1250
7,4008,1250
7,4021,1250
7,4022,1250
7,4027,1250
7,4028,1250
7,4032,1250
7,4034,1250
7,4035,5000
7,4038,1250
7,4043,1875
7,4049,1875
7,4053,5000
7,4058,5000
7,4069,1875
7,4077,5000
7,4086,5000
7,4097,1875
7,4102,5000
7,4106,1875
7,4133,5000
7,4044,3750
7,4052,1250
7,4100,1875
7,4042,1875
7,4023,1250
7,4014,1250
7,4107,1875
7,4091,1875
7,2619,3750
7,2625,5000
7,2622,5000
7,2624,5000
7,2623,5000
7,2621,5000
7,2626,5000
7,4092,5000
7,7825,5000
7,4105,7500
7,10004,500
7,10001,1500
7,4064,7500
7,4073,5000
7,4205,7500
7,4062,5000
7,4065,7500
7,4030,5000
7,4085,5000
7,4005,7500
7,4130,7500
7,4202,7500
7,4015,3750
7,4056,5000
7,4070,5000
7,4082,3750
7,4126,3750
7,4031,3250
7,4045,3250
7,4066,3250
7,4074,3250
7,4160,4250
7,4229,6250
7,4296,3250
7,4161,3750
7,4094,3750
7,4109,3750
7,4089,3750
7,4081,3750
7,4084,3250
7,4288,3750
7,4050,1875
7,4252,1250
7,4234,1850
7,4327,6250
7,4117,1250
7,4334,5000
7,4255,3750
7,4269,3750
7,4218,7500
7,4055,1850
7,4199,5000
7,2652,3750
7,4193,2000
7,4293,1875
7,4258,1250
7,4112,7500
7,4294,2000
7,4337,1250
7,4340,5000
7,4382,3250
7,4402,6250
7,4378,6250
7,4371,5000
7,4060,1875
7,4157,1875
7,4310,1875
7,4156,1875
7,4155,3750
